tweet_id,favorite_count,retweet_count,followers_count
892420643555336193,35307,7455,8912752
892177421306343426,30556,5535,8912752
891815181378084864,22998,3661,8912752
891689557279858688,38595,7628,8912752
891327558926688256,36877,8223,8912752
891087950875897856,18608,2752,8912752
890971913173991426,10805,1780,8912752
890729181411237888,59503,16670,8912751
890609185150312448,25597,3805,8912751
890240255349198849,29203,6467,8912751
890006608113172480,28161,6479,8912751
889880896479866881,25621,4400,8912751
889665388333682689,43978,8841,8912751
889638837579907072,24746,3952,8912751
889531135344209921,13925,1993,8912751
889278841981685760,23098,4703,8912751
888917238123831296,26702,3963,8912751
888804989199671297,23430,3733,8912751
888554962724278272,18078,3055,8912751
888078434458587136,19972,3062,8912751
887705289381826560,27758,4772,8912751
887517139158093824,42516,10402,8912751
887473957103951883,62919,15883,8912751
887343217045368832,30874,9305,8912751
887101392804085760,28106,5266,8912751
886983233522544640,31899,6753,8912751
886736880519319552,10948,2810,8912751
886680336477933568,20631,3953,8912751
886366144734445568,19372,2796,8912751
886267009285017600,110,4,8912751
886258384151887873,25651,5588,8912751
886054160059072513,0,96,8912751
885984800019947520,29878,5935,8912751
885528943205470208,32949,5649,8912751
885518971528720385,18790,3295,8912751
885311592912609280,0,16338,8912751
885167619883638784,20064,3861,8912751
884925521741709313,70531,15947,8912751
884876753390489601,25497,4930,8912751
884562892145688576,22292,4148,8912751
884441805382717440,24870,5035,8912750
884247878851493888,66414,17927,8912750
884162670584377345,18727,2645,8912750
883838122936631299,20047,3021,8912750
883482846933004288,42026,8728,8912750
883360690899218434,20798,3256,8912750
883117836046086144,33987,5864,8912750
882992080364220416,21914,3426,8912750
882762694511734784,25905,4314,8912750
882627270321602560,25687,5364,8912750
882268110199369728,41098,10252,8912750
882045870035918850,26875,4298,8912750
881906580714921986,22349,3010,8912750
881666595344535552,46451,9442,8912750
881633300179243008,116,7,8912750
881536004380872706,45366,14157,8912750
881268444196462592,21372,4693,8912750
880935762899988482,15692,2474,8912750
880872448815771648,19541,3384,8912750
